id;Code;Speciality;faculty;UkrainianLanguage;Math;HistoryOfUkraine;ForeignLanguage;Biology;Physics;Chemistry;link
51;17;Фізична культура і спорт;СОЦІАЛЬНО-ГУМАНІТАРНИХ ТЕХНОЛОГІЙ;0;0;0;0;0;0;0;http://vstup.kpi.kharkov.ua/edprogram-cat/017-fizychna-kultura-i-sport/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
52;35;Філологія;СОЦІАЛЬНО-ГУМАНІТАРНИХ ТЕХНОЛОГІЙ;0.4;-0.3;0.3;0.4;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/035-filolohiia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
28;51;Економіка;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/051-ekonomika/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
54;53;Психологія;СОЦІАЛЬНО-ГУМАНІТАРНИХ ТЕХНОЛОГІЙ;0.35;-0.4;0.25;0.25;0.4;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/053-psykholohiia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
55;54;Соціологія;СОЦІАЛЬНО-ГУМАНІТАРНИХ ТЕХНОЛОГІЙ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/054-sotsiolohiia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
30;71;Облік і оподаткування;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/071-oblik-i-opodatkuvannia/
31;72;Фінанси, банківська справа, страхування та фондовий ринок;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/072-finansy-bankivska-sprava-ta-strakhuvannia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
32;73;Менеджмент;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/073-menedzhment/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
35;75;Маркетинг;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/075-marketynh/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
36;76;Підприємництво та торгівля;ЕКОНОМІКИ, МЕНЕДЖМЕНТУ І МІЖНАРОДНОГО БІЗНЕСУ;0.35;-0.4;0.25;0.25;0.2;0.2;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/076-pidpryiemnytstvo-torhivlia-ta-birzhova-diialnist/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
1;101;Екологія;МЕХАНІЧНОЇ ІНЖЕНЕРІЇ І ТРАНСПОРТУ;0.3;-0.35;0.35;0.3;0.4;0.35;0.4;http://vstup.kpi.kharkov.ua/edprogram-cat/101-ekolohiia/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
16;105;Прикладна фізика та наноматеріали;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.3;0.25;0.5;0.4;http://vstup.kpi.kharkov.ua/edprogram-cat/105-prykladna-fizyka-ta-nanomaterialy/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
17;113;Прикладна математика;КОМП’ЮТЕРНОГО МОДЕЛЮВАННЯ, ПРИКЛАДНОЇ ФІЗИКИ ТА МАТЕМАТИКИ;0.3;-0.5;0.2;0.3;0.2;0.4;0.2;http://vstup.kpi.kharkov.ua/edprogram-cat/113-prykladna-matematyka/?filter_stupen-vyshchoi-osvity=bakalavr&query_type_stupen-vyshchoi-osvity=or
